is_new_device,login_attempts,failed_logins,session_duration,port_accessed,payload_size_kb,data_exfiltration_volume,access_frequency,is_outside_business_hours,time_of_day,day_of_week,known_device,previous_violations,role_guest,role_user,country_China,country_Germany,country_India,country_Russia,country_UK,country_USA,protocol_TCP,protocol_UDP,resource_accessed_/backup,resource_accessed_/config,resource_accessed_/data,resource_accessed_/files,resource_accessed_/home,resource_accessed_/login,anomaly_score
0,-1.47104481,-1.47104481,-1.659202329,2.205388274,0.012850652,1.724855909,1.646787657,1,-1.517387039,-1.539558307,1,1.342422917,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-0.05526686815747128
1,-1.47104481,-1.47104481,-1.684887753,2.205388274,1.327197919,-1.698471583,1.299578726,1,1.655913131,-1.539558307,0,1.342422917,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.0487824917642099
1,-1.47104481,-1.47104481,-1.615585572,2.205388274,1.470416928,-0.978514049,-0.262861466,1,-0.796182455,1.553539107,0,1.342422917,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-0.04793783960609166
0,1.451847255,1.451847255,-1.582630689,2.205388274,-0.40185876,1.604862987,-1.478092726,1,-1.517387039,-1.024042071,1,1.342422917,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,-0.04758058338216886
1,1.451847255,1.451847255,-1.567122509,2.205388274,1.731826382,-1.17614945,-0.957279329,1,-1.661627956,1.553539107,0,1.342422917,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-0.04725489915351422
0,-1.47104481,-1.47104481,1.535482807,2.205388274,1.478759783,-0.667944132,1.646787657,1,1.367431298,1.553539107,1,1.342422917,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-0.044951355759589307
0,-1.47104481,-1.47104481,-1.366485427,2.205388274,-1.68526794,1.202533776,-0.262861466,0,-0.363459705,1.553539107,1,-1.340902366,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-0.043098828444308235
0,-1.47104481,-1.47104481,-1.57536123,2.205388274,-0.596525375,1.64721343,1.473183191,1,-1.373146123,1.038022872,1,1.342422917,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-0.04237665867422824
0,-1.47104481,-1.47104481,1.633378195,2.205388274,-1.290720427,-1.493777774,-1.651697191,0,0.79046763,1.553539107,1,1.342422917,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-0.04106267964543675
1,0.867268842,0.867268842,1.116761939,2.205388274,1.146436063,1.301351477,1.646787657,1,1.511672214,1.553539107,0,1.342422917,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,-0.03732411524680179
1,1.451847255,1.451847255,1.584430501,2.205388274,1.683854966,1.541337322,1.646787657,1,1.511672214,-1.024042071,0,1.342422917,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,-0.03677345510936714
0,-0.886466397,-0.886466397,-1.62140114,2.205388274,-1.070677628,0.334349691,0.084347466,1,1.367431298,-0.508525836,1,1.342422917,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,-0.03642224918878889
0,-1.47104481,-1.47104481,-0.080760356,-0.530718596,1.151302728,-1.147915822,-1.478092726,0,0.646226713,-1.539558307,1,1.342422917,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,-0.036291375593216824
1,1.451847255,1.451847255,1.410448103,2.205388274,0.655945718,-0.738528204,-1.30448826,0,0.934708547,1.038022872,0,-1.340902366,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-0.036128111332085266
0,-0.886466397,-0.886466397,-1.019974524,2.205388274,-1.345296602,1.378993956,-1.478092726,0,-0.219218788,1.553539107,1,-1.340902366,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,-0.03606688996222862
1,-0.886466397,-0.886466397,-1.486189193,2.205388274,-1.139158562,-1.317317594,1.299578726,1,-1.661627956,1.553539107,0,-1.340902366,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,-0.035861904721169124
1,-1.47104481,-1.47104481,1.555352663,2.205388274,1.30355983,0.708445272,1.646787657,0,0.646226713,0.0069904,0,1.342422917,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,-0.035696889958233724
0,-1.47104481,-1.47104481,-1.151794056,-0.530718596,-1.490253706,-1.43025211,0.778765329,1,1.367431298,-1.539558307,1,1.342422917,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.035680462781965794
